,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,risk,risk_label,gender,age,sex_orient
36,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0.6112974193110925,random,male,16,het
37,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1.871407501162354,risky,male,15,het
38,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,-0.49972767331124057,random,female,16,het
39,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1.8437929652076788,risky,female,15,non_het
40,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2.249198301037537,safe,male,16,het
41,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,2.2454533961403715,risky,female,17,het
42,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,-1.9420649378365646,safe,male,15,het
43,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,-2.0432854493368744,safe,male,14,het
44,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,-2.627175143253952,safe,male,17,het
45,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,-0.8067573146007412,safe,male,14,non_het
46,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1.7806500159549692,risky,male,17,het
47,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,-0.8756691155185189,random,male,16,het
48,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0.2420359787181785,safe,female,14,het
49,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,-0.023288156659896177,random,female,14,het
50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.4987439269212874,safe,female,17,het
51,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,-1.7962657876037602,safe,male,13,het
52,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-2.162581223686056,safe,male,16,het
53,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1.21328157607373,risky,female,17,non_het
54,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1.438895822631964,random,male,15,het
55,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2.004547636441055,risky,female,17,het
56,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,2.118008182667573,risky,female,14,non_het
57,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,2.2117170069564316,risky,female,17,het
58,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,-0.30493208454122955,safe,male,13,het
59,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,-0.9817074757279094,safe,male,15,het
60,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-3.254093722542459,safe,female,15,het
61,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-2.0221795272242904,safe,male,14,het
62,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,-1.7292149994290613,safe,female,14,het
63,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,-2.06811276776338,safe,female,17,non_het
64,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0.9564285488792172,risky,male,15,het
65,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,-1.0017740202489782,random,female,14,het
66,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-2.5995725434339763,safe,male,14,non_het
67,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,-0.72545549957771,safe,male,15,het
68,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,-0.8185401305532891,safe,male,13,het
69,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1.6850197659498858,risky,female,17,het
70,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,2.3568283490950552,risky,female,16,non_het
71,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2.1551358727293097,safe,male,13,het
72,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,3.292070461480705,risky,male,17,het
73,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,-0.27465052987935695,random,female,16,non_het
74,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,-1.7049617045553696,safe,female,13,het
75,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2.8797030904466387,risky,male,13,het
76,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1.8401917465824504,risky,male,16,non_het
77,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-2.434084551011614,safe,male,17,het
78,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,-1.6325442358030862,safe,female,13,het
79,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1.9113174621775286,risky,male,15,het
80,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,-0.5085988177455092,random,female,17,het
81,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0.8430510411064395,random,female,15,het
82,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,-1.5793383825904588,safe,male,16,het
83,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-2.8821195298874045,safe,male,14,het
84,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1.5184637480606988,risky,female,14,het
85,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,-0.35131121173879,random,female,13,het
86,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,-1.8424073398113052,safe,male,15,het
87,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1.504927852134542,risky,male,17,het
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.949302334390264,safe,female,13,het
89,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,-2.909406586175426,safe,male,16,non_het
90,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,-1.8599859503038112,safe,female,15,non_het
91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.0377539746447995,safe,male,13,het
92,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,-2.260089952943417,safe,male,13,het
93,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1.6443267978760512,safe,male,16,het
94,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1.2853388293704466,random,male,16,het
95,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,2.264235365915542,risky,male,17,het
96,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,-1.226800168734415,safe,male,13,het
97,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,2.288043095185416,risky,male,13,het
98,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,-2.9906782213977343,safe,male,13,het
99,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1.6326940561445378,risky,female,16,non_het
100,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-2.73146323654102,safe,female,13,het
101,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,-0.4810299567538916,safe,female,15,het
102,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,-1.7564531904427623,safe,male,13,het
103,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-2.6158729620112267,safe,female,16,het
104,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-1.5745057356340344,safe,male,13,het
105,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,-0.9020811499574859,safe,female,15,het
106,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1.9997640727772679,safe,male,14,het
107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2.5039636651275323,safe,male,17,non_het
108,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0.6944886680445868,random,female,16,het
109,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-2.5238385214348185,safe,female,14,het
110,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,-1.3147397836881374,safe,male,17,het
111,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-3.267094899571294,safe,male,16,het
112,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,-2.5727829858648352,safe,male,15,het
113,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-0.06517822401231996,random,female,15,het
114,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,2.2635380259521862,risky,female,15,het
115,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,-0.7493706256417241,safe,female,14,het
116,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1.126901883413324,random,male,14,het
117,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,-1.1936124227160119,safe,female,16,het
118,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0.8214620386525575,random,male,16,non_het
119,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0.6099991236084175,risky,male,16,het
120,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,-2.233129888141383,safe,male,13,het
121,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-1.6719857860105258,safe,female,17,het
122,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-2.522217684261854,safe,male,15,het
123,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,-0.8529436332216136,random,male,13,het
124,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1.2682986136111787,risky,male,14,het
125,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,-1.575517856582513,safe,female,17,het
126,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,-0.4959362132299766,random,female,16,het
127,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1.7708521483402369,risky,female,16,het
128,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1.8710328052733325,risky,female,13,het
129,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2.260047632779264,risky,female,15,het
130,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,-0.3824232352118817,safe,female,15,het
131,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,-1.3575986217150726,safe,male,16,het
132,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,-1.512973102260721,safe,male,14,het
133,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.4508931607858024,risky,female,13,het
134,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0.3425560514995094,random,male,16,non_het
135,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0.3187298261707673,random,female,13,het
136,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,2.103789518431225,risky,male,17,het
137,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1.3122109540485094,risky,female,16,het
138,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-2.4194523312050626,safe,male,14,het
139,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,2.3949004964604708,risky,male,16,non_het
140,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1.8974701165587313,risky,male,16,non_het
141,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,-1.8951279599136421,safe,male,15,het
142,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.732482387448795,safe,female,15,het
143,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,-2.173087822522157,safe,female,13,het
144,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,-1.6614482205748213,safe,male,13,het
145,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-1.682174742565636,safe,male,16,het
146,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-2.8201461104550183,safe,male,17,het
147,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0.4929656821210062,risky,male,16,het
148,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,-1.1633234540250807,safe,female,16,het
149,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,2.117748217698912,risky,male,14,het
150,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,2.2269126463299584,risky,female,15,het
151,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-2.3829141960303604,safe,male,16,het
152,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-2.7950732982151942,safe,male,17,non_het
153,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-2.7822941598196427,safe,female,15,het
154,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1.4765469639823507,risky,female,14,het
155,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1.7448658307087213,safe,female,13,non_het
156,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,2.563164396255486,risky,male,15,non_het
157,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1.7394301648696557,risky,male,15,het
158,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,-1.444496214735332,safe,female,14,non_het
159,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,-0.9614414976446648,safe,female,13,het
160,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,-0.057826409873291545,random,female,16,het
161,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,-1.4702444303158417,safe,male,17,non_het
162,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1.9260521716795789,safe,male,17,het
163,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1.1267925635572835,risky,female,17,het
164,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,-1.3309822720707443,safe,female,14,het
165,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,2.096275958341449,risky,male,15,non_het
166,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0.147146704058863,random,male,16,het
167,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,-1.9577195411810873,safe,male,16,het
168,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,2.469371473372482,risky,female,14,non_het
169,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,2.506072472967291,risky,male,16,het
170,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,-1.9631879205265588,safe,male,16,het
171,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0.8370413352471935,random,female,13,het
172,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1.8703621872105145,risky,male,15,het
173,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.3428613147266497,safe,female,13,het
174,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,2.014371459037113,risky,female,17,het
175,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,-1.5922831138719125,safe,female,17,het
176,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2.9597194657702155,risky,female,17,het
177,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0.7457259001090133,risky,female,17,het
178,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,-0.637853240925933,safe,female,15,non_het
179,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,2.085123603292506,risky,female,16,het
180,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1.3300113702546175,random,male,13,het
181,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2.3270337028545587,safe,male,13,het
182,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0.8079583746541703,random,male,17,het
183,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,-0.9069534419736021,safe,male,15,het
184,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,-0.7525836077638852,random,male,17,het
185,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,-0.7255163052809273,safe,female,17,het
186,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.203135010818853,safe,male,13,het
187,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,-1.13760019397707,random,male,14,het
188,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,-0.8511018524010636,safe,male,15,het
189,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1.9449090821419155,risky,female,16,het
190,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,2.0083400282504478,risky,female,13,het
191,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,-1.3781317283586936,safe,female,14,het
192,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,-2.6571175783309435,safe,female,14,het
193,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,-1.8318502657799824,safe,male,14,het
194,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1.2517046487798658,risky,female,17,het
195,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,2.0589916867472677,risky,female,15,het
196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3.063918249767493,safe,male,15,het
197,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,3.0989456016773893,risky,female,14,het
198,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0.969389507927948,risky,male,14,non_het
199,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,-0.3996988083163737,random,female,14,het
200,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,3.2848305807176956,risky,female,16,non_het
201,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1.1911442424997776,random,female,16,het
202,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,-0.3924122690999944,random,female,13,het
203,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,-0.8628497727603186,safe,female,13,het
204,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0.7519411661856163,random,male,15,non_het
205,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,-1.5324394884212273,safe,female,14,het
206,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1.670016206522067,risky,male,17,het
207,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,-1.4277024094560233,safe,male,16,het
208,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2.833439641204574,risky,male,15,het
209,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,2.876445322482704,risky,male,16,het
210,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,-1.0102442250762749,safe,female,13,het
211,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1.1969922400272854,risky,female,15,het
212,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-2.340058838888007,safe,female,16,het
213,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,-1.6117184290126287,safe,male,16,non_het
214,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,2.808207668216761,risky,male,17,het
215,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1.2174565360578333,risky,female,17,het
216,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0.02953776785596641,random,male,13,het
217,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1.3747088433080372,risky,male,17,het
218,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-3.951415425939836,safe,male,15,het
219,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1.2497904866014786,random,male,14,het
220,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2.4003725843194483,safe,male,15,het
221,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2.203765954568501,risky,male,13,het
222,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,2.7617706837297504,risky,female,15,het
223,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,-1.9394705487633035,safe,female,14,het
224,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1.9514864230366757,risky,female,16,non_het
225,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,3.1690294409020234,risky,male,16,non_het
226,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,-1.3557282511339925,safe,male,15,het
227,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.8494941592179095,random,female,15,het
228,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-2.357471863836945,safe,male,13,het
229,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,-0.48527725864667115,safe,male,17,het
230,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,-2.3962950150726234,safe,female,17,het
231,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,-1.6583999711292439,safe,male,14,het
232,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2.2404526600115404,risky,male,14,het
233,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,-1.0329628176745205,safe,male,16,het
234,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1.5910074830450993,random,female,17,het
235,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2.4978812345090518,risky,female,14,het
236,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,-2.082055998708853,safe,male,15,het
237,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,-3.941570248067478,safe,female,17,het
238,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1.873683397830224,risky,female,15,non_het
239,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,-1.3010939084596576,safe,female,13,het
240,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-2.6910938078040436,safe,female,13,het
241,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,-1.176923358776283,safe,female,13,het
242,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,-1.416379940210683,random,female,15,het
243,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.748399852714541,safe,female,15,het
244,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.9201329554174245,safe,male,13,het
245,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,-1.0303627703876672,random,male,14,het
246,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0.003647430863860804,random,female,16,het
247,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2.5051932474232186,risky,male,15,het
248,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,-2.79589737001958,safe,male,15,het
249,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1.271595493974349,risky,male,15,het
250,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0.3570895238866854,random,female,15,non_het
251,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,-2.6024684386167616,safe,male,14,het
252,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,2.090548410149059,risky,female,16,het
253,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,-1.4418389360655786,safe,female,17,het
254,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.7781221168814523,random,female,17,het
255,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0.03755119300726262,random,female,17,het
256,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,-2.021328820606102,safe,male,13,het
257,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,2.314118939553667,risky,female,17,het
258,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,-0.48816331479656616,random,male,16,het
259,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0.5736821382747858,random,male,15,het
260,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,-1.1646056733958983,safe,female,14,het
261,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,2.3597057097024887,risky,female,17,non_het
262,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,-1.8787653003433507,safe,female,14,het
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.701801702657524,safe,female,13,het
264,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.7838899867694504,safe,female,15,het
265,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,-0.6601341440336539,random,female,13,het
266,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1.8224711974403893,risky,male,17,non_het
267,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,-0.4620083173856717,random,male,14,het
268,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2.5107511842069474,risky,male,15,het
269,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1.2269219073892668,random,male,14,het
270,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,-2.478063825575818,safe,female,16,het
271,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2.295845434611456,risky,female,17,het
272,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,-0.7118664498855782,safe,male,14,het
273,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,2.28663479543941,risky,male,16,het
