,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,alpha_risk,risk_label,gender,age,sex_orient,immigrant
22,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2.615621551708177,risky,0,0,0,0
23,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,-1.8771371568593138,safe,1,3,0,0
24,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,-2.1157590338277648,risky,1,4,0,0
25,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0.16664150035256675,risky,0,4,0,0
26,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0.979602967965824,risky,1,0,0,1
27,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-1.3266150731210926,safe,1,4,0,0
28,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,2.083742331060983,risky,1,0,0,0
29,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-2.3567230185497627,safe,1,4,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2.6126984634071997,safe,1,2,0,0
31,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-2.169928939240583,safe,0,3,0,0
32,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1.1573613650462282,risky,0,3,0,1
33,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,2.2384493800507146,risky,0,4,0,0
34,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,-2.627389662048787,safe,0,4,0,0
35,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,-2.1061015120155333,safe,1,2,0,0
36,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0.7310769675591549,risky,1,1,0,1
37,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0.5170192522362191,risky,0,3,0,1
38,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,-1.7401576861784593,safe,1,2,0,0
39,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-1.859356900069812,safe,1,0,0,1
40,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,-0.10599919211042297,risky,1,2,0,1
41,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,-1.7483553824457185,safe,0,4,0,0
42,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,-0.05124546735224167,risky,1,3,0,1
43,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1.1262261887184577,risky,0,3,0,1
44,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-1.7693803939714248,safe,1,3,1,0
45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2.9666881765601048,safe,1,2,0,0
46,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1.8589469553447397,risky,0,1,1,0
47,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,-1.8205947381388456,safe,0,4,0,0
48,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,-1.7791867061043165,safe,1,0,0,0
49,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,-0.19871614875971655,risky,0,4,0,0
50,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-1.4847925981477303,safe,0,0,0,1
51,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,-1.897959820344922,risky,1,4,1,0
52,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,2.1288130309514486,risky,0,3,0,0
53,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,-0.4644511409921116,risky,0,0,0,0
54,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,-0.5081927251107177,risky,1,4,0,0
55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3.8540270305631052,safe,1,0,0,0
56,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,2.5267506940855324,risky,0,1,1,0
57,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,-1.5410250826274672,safe,0,4,0,0
58,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.277699786948098,safe,1,2,0,1
59,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,-1.8456581091494297,safe,0,0,0,0
60,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-0.9624681749513848,risky,1,3,0,1
61,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,-0.1188391285509286,risky,1,2,0,0
62,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,-2.0925600991958024,safe,1,0,0,0
63,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,-2.474979127342679,safe,1,2,0,0
64,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,-1.6953006868625162,risky,1,0,0,0
65,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,-1.891854001134057,safe,0,4,0,1
66,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,-2.0923309138197173,safe,1,0,0,1
67,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-2.046970813913228,safe,1,3,0,1
68,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,-1.7833300748069494,safe,0,1,0,0
69,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0.4194015248249991,risky,0,2,1,1
70,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.5553733970475179,risky,1,4,1,0
71,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,-1.6877310281855755,safe,0,3,0,0
72,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1.6275162421089346,risky,1,1,0,0
73,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,-0.27126160349187667,risky,1,3,0,0
74,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,-1.909260327626402,safe,0,2,0,0
75,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,-0.5928285243044253,risky,0,1,0,0
76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.823858460871401,risky,0,4,0,0
77,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,-2.0721366957744753,safe,0,0,0,0
78,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,-1.1608228290685265,risky,0,2,0,1
79,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-3.378852865943114,safe,0,2,1,0
80,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.03456698381472184,risky,1,3,0,0
81,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,-2.463210705021716,safe,1,4,0,0
82,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0.2985507244802107,risky,1,0,0,0
83,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0.8903358150226193,risky,1,4,0,1
84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.430687353634948,safe,1,4,1,1
85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.5414569513253296,safe,1,4,0,0
86,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1.7730070851615543,risky,0,1,1,0
87,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1.4924406854923005,safe,1,2,0,1
88,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,-2.6386445867204102,safe,0,2,0,0
89,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1.8034459670411727,risky,0,4,0,0
90,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,-1.0299476747846594,risky,0,2,0,1
91,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1.367309725354529,risky,0,4,0,0
92,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,-3.282506973352011,safe,0,1,0,0
93,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-0.8288725079901178,risky,1,1,0,0
94,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1.6085652684740457,safe,0,2,0,1
95,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.257307212083917,safe,0,2,0,0
96,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,-1.936436752543716,safe,1,1,0,0
97,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1.4342548232130146,risky,1,2,0,0
98,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,-2.170854456785444,safe,0,2,1,0
99,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.1777310735671027,safe,0,0,0,0
100,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-2.302277153544651,safe,1,2,0,1
101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.3016883617118316,safe,0,1,0,0
102,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0.03045159312498613,risky,0,4,0,0
103,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1.0121376032283518,risky,1,0,0,1
104,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,-2.9325329517550607,safe,1,1,0,0
105,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,-1.7173122799133542,safe,0,1,0,0
106,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,-0.9310545307659219,safe,0,4,0,0
107,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1.028528583729797,risky,0,0,0,0
108,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,-2.842842517043591,safe,1,2,0,0
109,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1.141458622988798,risky,0,3,0,0
110,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,2.191154518020201,risky,1,1,0,0
111,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,-0.648875045713752,risky,1,1,0,0
112,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,2.0331969237902054,risky,1,3,1,0
113,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-2.8326672284936354,safe,1,3,0,1
114,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0.45715470317928514,risky,0,4,0,0
115,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,-3.002051758685927,safe,1,1,0,1
116,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1.6257724912662097,safe,0,0,0,0
117,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,-0.8305316436125243,safe,0,3,0,0
118,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-1.5796284479545935,risky,0,2,0,1
119,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,-2.7156165091822273,safe,0,3,0,0
120,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1.9058368678591286,risky,0,0,0,0
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7221313801820513,safe,0,0,0,0
122,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,-1.0649983574486965,safe,0,1,0,0
123,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,-1.3390186550619196,safe,0,4,0,0
124,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0.3421830986899176,risky,0,0,0,0
125,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-2.7404813424887107,safe,1,3,0,0
126,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1.5236769613064147,risky,0,2,0,0
127,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,-1.2577480726842951,safe,1,2,0,0
128,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,-0.1396091535147551,risky,1,0,0,0
129,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,-0.10593243248795703,risky,0,4,0,0
130,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,2.2553304961082326,risky,0,4,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.8413476765783086,safe,1,3,0,0
132,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1.4108349235148272,risky,0,3,0,1
133,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,-1.9465136540724306,safe,1,3,0,0
134,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1.6226990860687733,risky,0,4,0,0
135,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1.30864284409413,risky,0,0,0,1
136,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,-1.9181052304279205,safe,1,1,0,0
137,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0.00834415271177913,risky,0,0,0,0
138,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,-1.5743662994489513,safe,0,1,0,0
139,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1.8053881981656466,risky,1,2,0,0
140,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-1.9925792380786593,safe,1,1,0,0
141,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1.0229565597305557,risky,1,4,0,0
142,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-2.832293102869196,safe,0,3,1,0
143,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1.156037666361434,risky,0,0,0,0
144,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0.7003124611589421,risky,1,2,1,0
145,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0.122863217093023,risky,0,3,1,0
146,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1.751707054603839,risky,1,2,0,0
147,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0.6285968414348699,risky,0,3,0,0
148,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,-1.2308397216711784,safe,1,1,1,0
149,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-1.6613342316852568,risky,0,2,0,0
150,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,-2.0386174086952167,safe,1,0,0,0
151,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,3.0734978098080306,risky,0,2,0,0
152,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.6782745939826467,safe,0,3,0,0
153,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,-1.132548629530262,safe,0,3,0,1
154,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,-0.4812476685196342,risky,1,1,0,0
155,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,-1.1601705606635724,risky,0,4,0,0
156,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1.007929690511054,risky,1,1,0,0
157,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,-2.3598814644062367,safe,0,0,0,0
158,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-2.7339326021210457,safe,0,4,0,1
159,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1.970081233368898,safe,1,3,0,0
160,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,-1.8410324165484038,safe,0,4,1,0
161,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.796520180176952,safe,1,0,0,0
162,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-2.821843326826181,risky,1,1,0,1
163,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,-0.663108428955629,risky,1,0,0,0
164,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,-0.31149270849149213,risky,0,3,0,0
165,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0.14062446329490313,risky,0,2,1,0
166,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0.10287075615609087,risky,0,1,0,0
167,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,-1.5168540660782968,safe,0,1,0,0
168,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1.7303528271000408,risky,0,4,0,1
169,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-1.8831918739488918,safe,1,3,0,0
170,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-2.789861079225422,safe,1,2,0,0
171,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,-1.904755950429968,safe,1,3,0,0
172,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1.7735746459164996,risky,1,4,0,1
173,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1.2209781236844512,safe,0,0,0,1
174,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,-2.5019589556995165,safe,1,0,0,0
175,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,-0.484483784254767,risky,1,0,0,1
176,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1.259827102399326,risky,1,3,0,0
177,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,-1.2244606261879851,safe,1,0,0,0
178,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,-0.032610796938615794,risky,0,3,0,0
179,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,-3.2372273961069338,safe,1,0,0,0
180,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,-0.11950379447068349,risky,0,3,1,0
181,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,-0.8747217289415061,risky,1,0,0,0
182,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1.3941405530318947,risky,1,2,0,1
183,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,-2.8065805195875564,safe,0,0,1,0
184,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-2.029470075424306,safe,0,3,0,0
185,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,-0.019409418799029687,risky,0,3,0,1
186,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-2.3347783573415652,safe,1,2,0,0
187,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,-2.34049760314164,safe,0,3,0,0
188,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,-1.1039148436200272,safe,1,3,0,0
189,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,-1.2085429546717332,safe,1,3,0,0
190,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-2.3296228163424217,safe,1,2,0,1
191,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1.0356451311381116,risky,0,4,1,1
192,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,-0.5399689699190957,risky,1,3,1,0
193,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-1.797544243402914,safe,1,2,0,0
194,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,-0.5097148488461871,risky,1,2,0,0
195,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,-1.595249413115627,safe,0,1,0,0
196,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,-0.4585099703102087,risky,1,3,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.250395681138109,safe,1,2,0,1
198,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,-0.3813926737734963,risky,1,2,0,0
199,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0.025245442474894964,risky,1,3,0,0
200,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,-1.8781903210345834,safe,0,4,0,0
201,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1.2860243450004423,safe,1,4,0,1
202,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.8609409704443334,risky,1,1,1,1
203,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1.3660858817518409,risky,0,2,0,1
204,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,-0.6738919171217264,risky,0,0,0,0
205,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,-0.5173998649575553,risky,0,3,1,0
206,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0.8625094461435581,risky,1,0,0,0
207,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-2.308662875977803,safe,1,4,0,0
208,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-1.1101634682088237,safe,1,3,0,0
209,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,-2.480631669895263,safe,1,2,1,1
210,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,-2.16986911094249,safe,0,1,0,0
211,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,2.2267646365767613,risky,0,3,0,0
212,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-2.078728692906568,safe,0,0,0,0
213,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.0703736952392866,safe,0,2,0,0
214,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-2.7015456040146137,safe,1,4,0,0
215,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0.02304916575109578,risky,0,0,0,0
216,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,2.363349545097741,risky,1,4,0,1
217,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.5760962331488844,risky,0,2,0,0
218,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,-0.5589023740573513,risky,1,0,0,1
219,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,-2.4638586363310373,safe,0,2,0,0
220,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,-0.37746004089982055,risky,0,1,1,0
221,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0.6803988202640155,risky,0,4,0,1
222,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,-2.2280858389233975,safe,0,4,0,1
223,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,-1.1204411338838862,risky,0,2,1,1
224,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.39971987318865,safe,0,4,0,1
225,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1.4167138196499978,risky,1,0,1,0
226,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,-2.4245669803541166,safe,1,4,0,0
227,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,-1.3062142134058838,safe,0,2,0,1
228,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,-0.8025169706986026,risky,0,4,0,0
229,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,-2.285395742642245,safe,1,2,1,0
230,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0.6495240833150657,risky,1,4,0,0
231,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1.9581137302352984,safe,0,3,0,0
232,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,-1.6828455336674375,safe,1,3,0,0
233,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0.7785849313906292,risky,1,0,0,0
234,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-2.79519215678326,safe,1,1,1,0
235,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,-2.585015101215106,safe,0,2,0,0
236,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0.9221036565189031,risky,0,2,0,0
237,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-2.5060651599103445,safe,1,1,0,0
238,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,-0.19049932987146512,risky,0,0,0,0
239,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0.6191440121449157,risky,1,1,0,0
240,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1.6767499513992739,risky,1,2,0,1
241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3357110344370278,safe,0,0,0,1
242,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,-2.3483696812930757,safe,0,0,0,1
243,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,-1.7200855402780753,safe,0,3,0,1
244,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,-1.6084138990896066,safe,0,1,0,0
245,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,2.1186852066973536,risky,1,0,1,0
246,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-2.6772276182300714,safe,0,1,0,0
247,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0.7674810926727189,risky,1,0,1,0
248,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-2.302564610385725,safe,1,4,0,0
249,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,-1.7092881560915856,safe,0,1,0,0
250,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1.2385763687909073,risky,1,4,0,0
251,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,-0.019780374528875155,risky,0,4,0,0
252,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,-1.7395142981022422,risky,1,4,0,0
253,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-2.3024788029051804,risky,1,4,1,0
254,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2.022864852944253,safe,0,2,0,0
255,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,-1.4807239825507472,safe,1,0,0,0
256,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1.8250075383958066,risky,1,4,0,0
257,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1.3148736150643496,risky,1,2,0,0
258,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,-2.1987142429169895,safe,1,1,0,1
259,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,-2.044406595989707,safe,0,1,0,0
260,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0.14340080869759936,risky,0,1,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.6809929726937636,safe,0,4,0,0
